FK_NAME	schema_name	table	column	referenced_schema	referenced_table	referenced_column
FK__propgrop__Purge_Status_Id	Horizon	propgrop	Purge_Status_Id	Utility	Purge_Status	Id
FK__saleband__Purge_Status_Id	Horizon	saleband	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_space_Purge_Status_Id	Horizon	space	Purge_Status_Id	Utility	Purge_Status	Id
FK__glacruleshd__Purge_Status_Id	Horizon	glacruleshd	Purge_Status_Id	Utility	Purge_Status	Id
FK__unitschdr__Purge_Status_Id	Horizon	unitschdr	Purge_Status_Id	Utility	Purge_Status	Id
FK__tnntcomp__Purge_Status_Id	Horizon	tnntcomp	Purge_Status_Id	Utility	Purge_Status	Id
FK__regtsetu__Purge_Status_Id	Horizon	regtsetu	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_suppgrop_Purge_Status_Id	Horizon	suppgrop	Purge_Status_Id	Utility	Purge_Status	Id
FK__igacuse__Purge_Status_Id	Horizon	igacuse	Purge_Status_Id	Utility	Purge_Status	Id
FK__leaspuse__Purge_Status_Id	Horizon	leaspuse	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_supplier_Purge_Status_Id	Horizon	supplier	Purge_Status_Id	Utility	Purge_Status	Id
FK__codebank__Purge_Status_Id	Horizon	codebank	Purge_Status_Id	Utility	Purge_Status	Id
FK__rentdmdln__Purge_Status_Id	Horizon	rentdmdln	Purge_Status_Id	Utility	Purge_Status	Id
FK__propstat__Purge_Status_Id	Horizon	propstat	Purge_Status_Id	Utility	Purge_Status	Id
FK__actlog__Purge_Status_Id	Horizon	actlog	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_taskdetail_Purge_Status_Id	Horizon	taskdetail	Purge_Status_Id	Utility	Purge_Status	Id
FK__vat__Purge_Status_Id	Horizon	vat	Purge_Status_Id	Utility	Purge_Status	Id
FK__leaschrg__Purge_Status_Id	Horizon	leaschrg	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_tenant_Purge_Status_Id	Horizon	tenant	Purge_Status_Id	Utility	Purge_Status	Id
FK__codemeas__Purge_Status_Id	Horizon	codemeas	Purge_Status_Id	Utility	Purge_Status	Id
FK__proptaxrec__Purge_Status_Id	Horizon	proptaxrec	Purge_Status_Id	Utility	Purge_Status	Id
