TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
AdventureWorks2014	Sales	vStoreWithContacts	BusinessEntityID
AdventureWorks2014	Sales	vStoreWithContacts	ContactType
AdventureWorks2014	Sales	vStoreWithContacts	EmailAddress
AdventureWorks2014	Sales	vStoreWithContacts	EmailPromotion
AdventureWorks2014	Sales	vStoreWithContacts	FirstName
AdventureWorks2014	Sales	vStoreWithContacts	LastName
AdventureWorks2014	Sales	vStoreWithContacts	MiddleName
AdventureWorks2014	Sales	vStoreWithContacts	Name
AdventureWorks2014	Sales	vStoreWithContacts	PhoneNumber
AdventureWorks2014	Sales	vStoreWithContacts	PhoneNumberType
AdventureWorks2014	Sales	vStoreWithContacts	Suffix
AdventureWorks2014	Sales	vStoreWithContacts	Title
AdventureWorks2014	Production	ScrapReason	ModifiedDate
AdventureWorks2014	Production	ScrapReason	Name
AdventureWorks2014	Production	ScrapReason	ScrapReasonID
AdventureWorks2014	Sales	vStoreWithAddresses	AddressLine1
AdventureWorks2014	Sales	vStoreWithAddresses	AddressLine2
AdventureWorks2014	Sales	vStoreWithAddresses	AddressType
AdventureWorks2014	Sales	vStoreWithAddresses	BusinessEntityID
AdventureWorks2014	Sales	vStoreWithAddresses	City
AdventureWorks2014	Sales	vStoreWithAddresses	CountryRegionName
AdventureWorks2014	Sales	vStoreWithAddresses	Name
AdventureWorks2014	Sales	vStoreWithAddresses	PostalCode
AdventureWorks2014	Sales	vStoreWithAddresses	StateProvinceName
AdventureWorks2014	Purchasing	vVendorWithContacts	BusinessEntityID
AdventureWorks2014	Purchasing	vVendorWithContacts	ContactType
AdventureWorks2014	Purchasing	vVendorWithContacts	EmailAddress
AdventureWorks2014	Purchasing	vVendorWithContacts	EmailPromotion
AdventureWorks2014	Purchasing	vVendorWithContacts	FirstName
AdventureWorks2014	Purchasing	vVendorWithContacts	LastName
AdventureWorks2014	Purchasing	vVendorWithContacts	MiddleName
AdventureWorks2014	Purchasing	vVendorWithContacts	Name
AdventureWorks2014	Purchasing	vVendorWithContacts	PhoneNumber
AdventureWorks2014	Purchasing	vVendorWithContacts	PhoneNumberType
AdventureWorks2014	Purchasing	vVendorWithContacts	Suffix
AdventureWorks2014	Purchasing	vVendorWithContacts	Title
AdventureWorks2014	HumanResources	Shift	EndTime
AdventureWorks2014	HumanResources	Shift	ModifiedDate
AdventureWorks2014	HumanResources	Shift	Name
AdventureWorks2014	HumanResources	Shift	ShiftID
AdventureWorks2014	HumanResources	Shift	StartTime
AdventureWorks2014	Purchasing	vVendorWithAddresses	AddressLine1
AdventureWorks2014	Purchasing	vVendorWithAddresses	AddressLine2
AdventureWorks2014	Purchasing	vVendorWithAddresses	AddressType
AdventureWorks2014	Purchasing	vVendorWithAddresses	BusinessEntityID
AdventureWorks2014	Purchasing	vVendorWithAddresses	City
AdventureWorks2014	Purchasing	vVendorWithAddresses	CountryRegionName
AdventureWorks2014	Purchasing	vVendorWithAddresses	Name
AdventureWorks2014	Purchasing	vVendorWithAddresses	PostalCode
AdventureWorks2014	Purchasing	vVendorWithAddresses	StateProvinceName
AdventureWorks2014	Production	ProductCategory	ModifiedDate
AdventureWorks2014	Production	ProductCategory	Name
AdventureWorks2014	Production	ProductCategory	ProductCategoryID
AdventureWorks2014	Production	ProductCategory	rowguid
AdventureWorks2014	Purchasing	ShipMethod	ModifiedDate
AdventureWorks2014	Purchasing	ShipMethod	Name
AdventureWorks2014	Purchasing	ShipMethod	rowguid
AdventureWorks2014	Purchasing	ShipMethod	ShipBase
AdventureWorks2014	Purchasing	ShipMethod	ShipMethodID
AdventureWorks2014	Purchasing	ShipMethod	ShipRate
AdventureWorks2014	Production	ProductCostHistory	EndDate
AdventureWorks2014	Production	ProductCostHistory	ModifiedDate
AdventureWorks2014	Production	ProductCostHistory	ProductID
AdventureWorks2014	Production	ProductCostHistory	StandardCost
AdventureWorks2014	Production	ProductCostHistory	StartDate
AdventureWorks2014	Production	ProductDescription	Description
AdventureWorks2014	Production	ProductDescription	ModifiedDate
AdventureWorks2014	Production	ProductDescription	ProductDescriptionID
AdventureWorks2014	Production	ProductDescription	rowguid
AdventureWorks2014	Sales	ShoppingCartItem	DateCreated
AdventureWorks2014	Sales	ShoppingCartItem	ModifiedDate
AdventureWorks2014	Sales	ShoppingCartItem	ProductID
AdventureWorks2014	Sales	ShoppingCartItem	Quantity
AdventureWorks2014	Sales	ShoppingCartItem	ShoppingCartID
AdventureWorks2014	Sales	ShoppingCartItem	ShoppingCartItemID
AdventureWorks2014	Production	ProductDocument	DocumentNode
