TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
nhspsedhdwprod	Horizon	V_glrepcatdt	Sk_Id
nhspsedhdwprod	Horizon	V_glrepcatdt	GRCD_GRCH_REF
nhspsedhdwprod	Horizon	V_glrepcatdt	GRCD_VALUE
nhspsedhdwprod	Horizon	V_glrepcatdt	GRCD_DEFAULT_FLAG
nhspsedhdwprod	Horizon	V_glrepcatdt	QCID
nhspsedhdwprod	Horizon	V_glrepcatdt	SOURCE
nhspsedhdwprod	Horizon	V_glrepcatdt	Hash
nhspsedhdwprod	Horizon	V_glrepcatdt	Latest_Indicator
nhspsedhdwprod	Horizon	V_glrepcatdt	FBI_Latest_Indicator
nhspsedhdwprod	Horizon	V_glrepcatdt	Valid_From
nhspsedhdwprod	Horizon	V_glrepcatdt	Valid_Until
nhspsedhdwprod	Horizon	V_glrepcatdt	Created
nhspsedhdwprod	Horizon	V_glrepcatdt	Created_By
nhspsedhdwprod	Horizon	V_glrepcatdt	Last_Updated
nhspsedhdwprod	Horizon	V_glrepcatdt	Last_Updated_By
nhspsedhdwprod	Horizon	V_glrepcatdt	Purge_From
nhspsedhdwprod	Horizon	V_glrepcatdt	Purge_Status_Id
nhspsedhdwprod	Horizon	V_glrepcatdt	File_Seq_No
nhspsedhdwprod	Horizon	V_unitschchgs	Sk_Id
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_SCCL_SESS_SEQN
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_COMP_REF
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_PROP_REF
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_UNIT_REF
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_LEAS_REF
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_SCHEDULE
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_MAN_FEE
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_SHARE
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_FLOOR
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_TOTAL_UNIT_CHARGE
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_TOTAL_LEASE_CHARGE
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_SCHEDULE_CHARGE
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_TOTAL_UNIT_MF_AMOUNT
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_TOTAL_LEASE_MF_AMOUNT
nhspsedhdwprod	Horizon	V_unitschchgs	USCH_LEAS_TYPE_FLAG
nhspsedhdwprod	Horizon	V_unitschchgs	QCID
nhspsedhdwprod	Horizon	V_unitschchgs	SOURCE
nhspsedhdwprod	Horizon	V_unitschchgs	Hash
nhspsedhdwprod	Horizon	V_unitschchgs	Latest_Indicator
nhspsedhdwprod	Horizon	V_unitschchgs	FBI_Latest_Indicator
nhspsedhdwprod	Horizon	V_unitschchgs	Valid_From
nhspsedhdwprod	Horizon	V_unitschchgs	Valid_Until
nhspsedhdwprod	Horizon	V_unitschchgs	Created
nhspsedhdwprod	Horizon	V_unitschchgs	Created_By
nhspsedhdwprod	Horizon	V_unitschchgs	Last_Updated
nhspsedhdwprod	Horizon	V_unitschchgs	Last_Updated_By
nhspsedhdwprod	Horizon	V_unitschchgs	Purge_From
nhspsedhdwprod	Horizon	V_unitschchgs	Purge_Status_Id
nhspsedhdwprod	Horizon	V_unitschchgs	File_Seq_No
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Execution_Code
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	User_Name
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Machine_Name
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Schema_Name
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Table_Name
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Business_Key
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Business_Key_Value
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_SK_Id
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Valid_From
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_SK_Id
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Valid_From
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_01
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_01
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_01
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_01
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_02
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_02
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_02
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_02
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_03
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_03
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_03
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_03
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_04
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_04
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_04
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_04
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_05
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_05
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_05
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_05
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_06
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_06
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_06
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_06
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_07
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_07
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_07
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_07
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_08
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_08
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_08
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_08
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_09
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_09
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_09
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_09
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_10
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_10
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_10
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_10
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_11
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_11
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_11
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_11
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_12
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_12
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_12
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_12
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_13
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_13
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_13
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_13
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_14
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_14
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_14
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_14
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_15
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_15
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_15
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_15
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_16
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_16
